,id_number,source,year,geographic_location_cleaned,hdi,demers_pelag,env_temp,form_clean,species_from_search,family,paper_id,nutrient,value,nut,species_short,species,country_sampled
103,A_33,WoS,2015,Bangladesh,Medium,pelagic-neritic,tropical,whole,Corica soborna,Clupeidae,Bogard_12,Protein,11.9,protein,C. sob.,Corica soborna,Bangladesh
104,A_33,WoS,2015,Bangladesh,Medium,pelagic-neritic,tropical,whole,Corica soborna,Clupeidae,Bogard_12,Zinc,3.1,zn,C. sob.,Corica soborna,Bangladesh
105,A_33,WoS,2015,Bangladesh,Medium,pelagic-neritic,tropical,whole,Corica soborna,Clupeidae,Bogard_12,Calcium,476,ca,C. sob.,Corica soborna,Bangladesh
106,A_33,WoS,2015,Bangladesh,Medium,pelagic-neritic,tropical,whole,Corica soborna,Clupeidae,Bogard_12,Iron,2.8,fe,C. sob.,Corica soborna,Bangladesh
107,A_33,WoS,2015,Bangladesh,Medium,pelagic-neritic,tropical,whole,Corica soborna,Clupeidae,Bogard_12,Selenium,7.5,se,C. sob.,Corica soborna,Bangladesh
108,A_33,WoS,2015,Bangladesh,Medium,pelagic-neritic,tropical,whole,Corica soborna,Clupeidae,Bogard_12,Vitamin A,78,vit_a,C. sob.,Corica soborna,Bangladesh
109,A_34,WoS,2015,Bangladesh,Medium,pelagic,tropical,whole (minus parts)*,Ailia coila,Schilbeidae,Bogard_12,Protein,17.1,protein,A. coi.,Ailia coila,Bangladesh
110,A_34,WoS,2015,Bangladesh,Medium,pelagic,tropical,whole (minus parts)*,Ailia coila,Schilbeidae,Bogard_12,Zinc,1.2,zn,A. coi.,Ailia coila,Bangladesh
111,A_34,WoS,2015,Bangladesh,Medium,pelagic,tropical,whole (minus parts)*,Ailia coila,Schilbeidae,Bogard_12,Calcium,110,ca,A. coi.,Ailia coila,Bangladesh
112,A_34,WoS,2015,Bangladesh,Medium,pelagic,tropical,whole (minus parts)*,Ailia coila,Schilbeidae,Bogard_12,Iron,0.82,fe,A. coi.,Ailia coila,Bangladesh
113,A_34,WoS,2015,Bangladesh,Medium,pelagic,tropical,whole (minus parts)*,Ailia coila,Schilbeidae,Bogard_12,Selenium,27,se,A. coi.,Ailia coila,Bangladesh
