mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
367.342,120.465,179.023,574.473,1.886,1.374,4081.0,3842.0,4078.0,3588.0,1.0
346.618,87.187,189.703,509.715,1.291,0.929,4564.0,4404.0,4617.0,3160.0,1.0
409.369,127.175,200.611,646.877,1.884,1.368,4557.0,4324.0,4617.0,3072.0,1.0
417.326,180.22,141.726,741.737,2.61,1.986,4767.0,4119.0,5036.0,3395.0,1.0
478.188,220.319,168.033,872.276,3.342,2.524,4345.0,3809.0,4589.0,3683.0,1.0
475.412,123.492,258.845,694.92,1.788,1.287,4771.0,4604.0,4809.0,3750.0,1.0
443.715,130.707,228.168,688.183,1.936,1.385,4557.0,4454.0,4497.0,3753.0,1.0
337.115,88.134,184.285,505.048,1.298,0.925,4609.0,4538.0,4618.0,3746.0,1.0
498.009,144.393,242.094,749.25,2.061,1.531,4909.0,4448.0,5161.0,3420.0,1.0
400.726,135.111,173.678,629.927,2.019,1.486,4478.0,4133.0,4552.0,3935.0,1.0
620.264,203.331,298.642,998.648,2.998,2.204,4601.0,4254.0,4779.0,3543.0,1.0
304.857,119.978,111.9,518.96,1.804,1.343,4422.0,3990.0,4522.0,3841.0,1.0
207.859,68.165,93.4,333.037,1.056,0.747,4169.0,4158.0,4064.0,3422.0,1.0
357.245,100.665,188.216,541.815,1.502,1.075,4494.0,4381.0,4432.0,3407.0,1.0
357.245,100.665,188.216,541.815,1.502,1.075,4494.0,4381.0,4432.0,3407.0,1.0
150.819,41.159,82.126,228.468,0.627,0.45,4309.0,4189.0,4274.0,3853.0,1.0
102.271,41.916,37.21,179.479,0.627,0.473,4467.0,3931.0,4845.0,3075.0,1.0
144.027,41.201,77.726,225.774,0.621,0.443,4405.0,4326.0,4405.0,3659.0,1.0
267.986,153.397,49.514,539.224,2.294,1.799,4470.0,3638.0,4879.0,3243.0,1.0
88.476,20.871,52.22,128.55,0.312,0.224,4478.0,4323.0,4561.0,3542.0,1.0
223.61,47.608,142.066,314.926,0.722,0.517,4351.0,4248.0,4313.0,3196.0,1.0
119.548,34.899,60.771,186.81,0.511,0.37,4672.0,4437.0,4785.0,3536.0,1.0
301.643,80.156,161.838,449.2,1.178,0.857,4629.0,4377.0,4665.0,3577.0,1.0
367.342,120.465,179.023,574.473,1.886,1.374,4081.0,3842.0,4078.0,3588.0,1.0
139.582,43.287,64.08,216.844,0.59,0.434,5389.0,4976.0,5521.0,3683.0,1.0
493.242,213.902,161.833,871.431,3.122,2.451,4693.0,3809.0,4972.0,3249.0,1.0
105.938,33.702,48.093,166.491,0.502,0.364,4499.0,4284.0,4579.0,3664.0,1.0
297.564,158.025,66.503,581.146,2.357,1.826,4494.0,3746.0,4922.0,3203.0,1.0
475.412,123.492,258.845,694.92,1.788,1.287,4771.0,4604.0,4809.0,3750.0,1.0
475.412,123.492,258.845,694.92,1.788,1.287,4771.0,4604.0,4809.0,3750.0,1.0
371.277,125.285,156.234,591.376,1.866,1.364,4510.0,4217.0,4706.0,3571.0,1.0
858.154,435.773,202.847,1594.387,6.434,4.656,4588.0,4380.0,4634.0,3634.0,1.0
417.326,180.22,141.726,741.737,2.61,1.986,4767.0,4119.0,5036.0,3395.0,1.0
346.618,87.187,189.703,509.715,1.291,0.929,4564.0,4404.0,4617.0,3160.0,1.0
246.408,64.358,133.712,367.188,0.939,0.667,4694.0,4651.0,4677.0,3958.0,1.0
270.946,73.279,144.529,404.218,1.078,0.791,4622.0,4293.0,4643.0,3665.0,1.0
277.923,95.803,112.054,448.011,1.402,1.036,4667.0,4279.0,4850.0,3395.0,1.0
357.245,100.665,188.216,541.815,1.502,1.075,4494.0,4381.0,4432.0,3407.0,1.0
322.535,98.108,167.665,510.271,1.509,1.09,4225.0,4052.0,4439.0,3643.0,1.0
125.292,29.507,75.398,182.372,0.421,0.304,4924.0,4725.0,4960.0,3135.0,1.0
129.123,41.432,61.026,207.935,0.638,0.458,4221.0,4100.0,4307.0,3712.0,1.0
468.725,401.428,39.121,1183.405,6.313,4.801,4044.0,3496.0,5715.0,3181.0,1.0
88.65,23.54,48.11,132.533,0.335,0.244,4925.0,4647.0,5014.0,3751.0,1.0
88.65,23.54,48.11,132.533,0.335,0.244,4925.0,4647.0,5014.0,3751.0,1.0
294.149,253.632,16.363,729.734,3.862,2.941,4313.0,3719.0,5842.0,3272.0,1.0
304.857,119.978,111.9,518.96,1.804,1.343,4422.0,3990.0,4522.0,3841.0,1.0
439.914,189.445,147.068,768.452,2.679,2.034,5001.0,4337.0,5373.0,3684.0,1.0
150.819,41.159,82.126,228.468,0.627,0.45,4309.0,4189.0,4274.0,3853.0,1.0
402.68,288.805,52.535,914.973,3.997,3.18,5220.0,4123.0,5822.0,3243.0,1.0
337.115,88.134,184.285,505.048,1.298,0.925,4609.0,4538.0,4618.0,3746.0,1.0
220.969,65.408,112.623,348.764,0.919,0.661,5061.0,4895.0,5077.0,3956.0,1.0
493.242,213.902,161.833,871.431,3.122,2.451,4693.0,3809.0,4972.0,3249.0,1.0
400.726,135.111,173.678,629.927,2.019,1.486,4478.0,4133.0,4552.0,3935.0,1.0
254.818,113.184,87.481,461.848,1.697,1.259,4447.0,4043.0,4554.0,3394.0,1.0
346.001,192.873,69.364,681.149,2.821,2.144,4676.0,4045.0,4901.0,3319.0,1.0
74.294,23.817,36.102,120.982,0.337,0.243,4990.0,4804.0,5067.0,3270.0,1.0
248.014,70.081,130.95,381.93,1.025,0.731,4678.0,4601.0,4647.0,3933.0,1.0
424.598,132.206,201.178,665.325,1.944,1.481,4624.0,3985.0,5049.0,2957.0,1.0
333.119,100.134,156.846,513.492,1.499,1.142,4465.0,3843.0,4757.0,2630.0,1.0
167.925,60.055,67.07,273.882,0.901,0.655,4444.0,4204.0,4551.0,3715.0,1.0
41.606,12.934,20.378,65.961,0.194,0.142,4434.0,4124.0,4645.0,3565.0,1.0
49.457,12.173,28.864,72.94,0.178,0.128,4668.0,4535.0,4717.0,3641.0,1.0
34.899,9.239,18.099,51.429,0.131,0.096,4966.0,4630.0,5033.0,3973.0,1.0
203.891,48.35,120.726,296.483,0.674,0.485,5144.0,4961.0,5067.0,3370.0,1.0
203.891,48.35,120.726,296.483,0.674,0.485,5144.0,4961.0,5067.0,3370.0,1.0
437.073,154.537,177.016,720.591,2.219,1.648,4849.0,4400.0,5020.0,3422.0,1.0
148.065,47.035,69.752,237.889,0.71,0.508,4385.0,4292.0,4404.0,3836.0,1.0
189.453,65.626,90.435,312.71,0.928,0.683,5003.0,4620.0,5077.0,3438.0,1.0
355.121,273.404,33.543,829.291,3.817,3.077,5130.0,3949.0,5858.0,3271.0,1.0
168.684,35.787,108.116,237.875,0.553,0.398,4189.0,4042.0,4279.0,3216.0,1.0
144.027,41.201,77.726,225.774,0.621,0.443,4405.0,4326.0,4405.0,3659.0,1.0
245.171,105.732,89.626,443.44,1.491,1.13,5025.0,4380.0,5180.0,3594.0,1.0
358.999,92.862,198.639,533.787,1.357,0.975,4683.0,4535.0,4734.0,3985.0,1.0
358.999,92.862,198.639,533.787,1.357,0.975,4683.0,4535.0,4734.0,3985.0,1.0
358.999,92.862,198.639,533.787,1.357,0.975,4683.0,4535.0,4734.0,3985.0,1.0
181.622,38.327,113.98,253.88,0.591,0.431,4199.0,3950.0,4338.0,3432.0,1.0
181.622,38.327,113.98,253.88,0.591,0.431,4199.0,3950.0,4338.0,3432.0,1.0
181.622,38.327,113.98,253.88,0.591,0.431,4199.0,3950.0,4338.0,3432.0,1.0
181.622,38.327,113.98,253.88,0.591,0.431,4199.0,3950.0,4338.0,3432.0,1.0
181.622,38.327,113.98,253.88,0.591,0.431,4199.0,3950.0,4338.0,3432.0,1.0
126.598,24.894,81.867,173.342,0.4,0.289,3881.0,3705.0,4031.0,3546.0,1.0
126.598,24.894,81.867,173.342,0.4,0.289,3881.0,3705.0,4031.0,3546.0,1.0
126.598,24.894,81.867,173.342,0.4,0.289,3881.0,3705.0,4031.0,3546.0,1.0
126.598,24.894,81.867,173.342,0.4,0.289,3881.0,3705.0,4031.0,3546.0,1.0
164.343,53.014,74.657,262.177,0.761,0.562,4855.0,4453.0,5034.0,3765.0,1.0
164.343,53.014,74.657,262.177,0.761,0.562,4855.0,4453.0,5034.0,3765.0,1.0
358.999,92.862,198.639,533.787,1.357,0.975,4683.0,4535.0,4734.0,3985.0,1.0
358.999,92.862,198.639,533.787,1.357,0.975,4683.0,4535.0,4734.0,3985.0,1.0
