,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Clupeidae,1.441,0.919,-0.218,3.221,0.023,0.016,1587.0,1587.0,1586.0,2193.0,1.0
Belonidae,2.044,0.985,0.211,3.915,0.024,0.018,1694.0,1540.0,1695.0,1853.0,1.0
Eleotridae,1.372,0.954,-0.402,3.121,0.022,0.016,1873.0,1873.0,1844.0,2451.0,1.0
Carangidae,1.256,0.969,-0.53,3.082,0.023,0.016,1759.0,1759.0,1741.0,2090.0,1.0
Engraulidae,1.027,0.972,-0.881,2.787,0.025,0.018,1493.0,1493.0,1508.0,2297.0,1.0
Sciaenidae,1.499,0.978,-0.316,3.34,0.024,0.017,1669.0,1576.0,1653.0,2277.0,1.0
Latidae,1.333,0.985,-0.478,3.164,0.022,0.015,2029.0,2029.0,2013.0,2743.0,1.0
Scombridae,1.523,0.96,-0.377,3.233,0.022,0.016,1932.0,1888.0,1923.0,2341.0,1.0
Pleuronectidae,1.271,1.027,-0.694,3.107,0.029,0.023,1236.0,1007.0,1243.0,2098.0,1.0
Moronidae,1.342,0.971,-0.448,3.171,0.022,0.016,1915.0,1915.0,1922.0,2315.0,1.0
Sparidae,1.31,0.988,-0.506,3.161,0.025,0.017,1611.0,1611.0,1603.0,1970.0,1.0
