,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Gen_nc[79],0.47,0.528,-0.435,1.554,0.031,0.022,290.0,284.0,231.0,1562.0,1.1
Gen_nc[80],0.571,0.727,-0.715,1.906,0.1,0.079,53.0,43.0,51.0,32.0,1.06
Gen_nc[81],0.895,0.929,-0.626,2.536,0.147,0.114,40.0,34.0,44.0,103.0,1.06
Gen_nc[82],-0.59,0.561,-1.541,0.383,0.125,0.09,20.0,20.0,21.0,101.0,1.13
Gen_nc[83],-0.239,0.634,-1.462,1.044,0.025,0.02,667.0,494.0,497.0,1093.0,1.05
Gen_nc[84],0.057,0.357,-0.67,0.735,0.023,0.016,237.0,237.0,157.0,1317.0,1.03
Gen_nc[85],-0.388,0.385,-1.154,0.204,0.068,0.049,32.0,32.0,33.0,1163.0,1.08
Gen_nc[86],0.554,0.741,-0.627,1.94,0.132,0.094,32.0,32.0,34.0,273.0,1.08
Gen_nc[87],0.226,0.681,-0.835,1.627,0.111,0.079,37.0,37.0,45.0,1322.0,1.06
Gen_nc[88],-0.738,0.567,-1.875,0.346,0.031,0.022,328.0,328.0,308.0,1174.0,1.02
Gen_nc[89],0.247,0.503,-0.646,1.3,0.054,0.038,88.0,88.0,90.0,1375.0,1.04
Gen_nc[90],1.084,1.003,-0.685,2.946,0.168,0.12,35.0,35.0,38.0,788.0,1.07
Gen_nc[91],0.946,0.836,-0.68,2.492,0.075,0.053,124.0,124.0,125.0,1431.0,1.03
Gen_nc[92],0.935,0.838,-0.566,2.494,0.105,0.092,64.0,42.0,62.0,45.0,1.12
Gen_nc[93],-0.765,1.056,-2.211,1.325,0.288,0.209,13.0,13.0,18.0,19.0,1.15
Gen_nc[94],-0.092,0.677,-1.286,1.314,0.079,0.056,73.0,73.0,90.0,68.0,1.04
Gen_nc[95],-0.896,0.639,-1.925,0.386,0.119,0.085,29.0,29.0,28.0,18.0,1.1
Gen_nc[96],0.128,0.629,-0.861,1.262,0.098,0.07,41.0,41.0,48.0,720.0,1.05
Gen_nc[97],0.145,0.484,-0.88,0.994,0.026,0.036,349.0,90.0,305.0,860.0,1.09
Gen_nc[98],-0.198,0.531,-1.16,0.837,0.062,0.044,73.0,73.0,83.0,190.0,1.11
Gen_nc[99],0.258,0.473,-0.702,0.986,0.064,0.045,55.0,55.0,57.0,1367.0,1.05
Gen_nc[100],-0.643,0.448,-1.452,0.297,0.018,0.013,599.0,599.0,254.0,1610.0,1.05
Gen_nc[101],-1.112,0.528,-2.085,-0.118,0.05,0.049,111.0,59.0,91.0,204.0,1.09
Gen_nc[102],-0.427,0.522,-1.54,0.416,0.049,0.049,114.0,56.0,131.0,47.0,1.11
Gen_nc[103],0.429,0.649,-0.878,1.608,0.037,0.034,300.0,180.0,236.0,1373.0,1.04
Gen_nc[104],-0.253,0.73,-1.309,1.593,0.138,0.099,28.0,28.0,35.0,16.0,1.11
Gen_nc[105],-0.641,0.819,-1.745,1.064,0.135,0.096,37.0,37.0,43.0,69.0,1.06
Gen_nc[106],-0.054,0.471,-0.993,0.86,0.04,0.029,140.0,136.0,117.0,1000.0,1.05
Gen_nc[107],-0.277,0.62,-1.516,0.852,0.051,0.046,149.0,90.0,133.0,1257.0,1.08
Gen_nc[108],0.067,0.819,-1.298,1.319,0.204,0.147,16.0,16.0,17.0,36.0,1.16
Gen_nc[109],0.172,0.692,-1.166,1.344,0.078,0.055,79.0,79.0,81.0,39.0,1.03
Gen_nc[110],0.045,1.072,-2.197,1.762,0.301,0.218,13.0,13.0,13.0,15.0,1.22
Gen_nc[111],-0.033,0.603,-1.233,1.113,0.027,0.025,488.0,293.0,328.0,1084.0,1.1
Gen_nc[112],-0.08,1.035,-2.033,1.811,0.278,0.201,14.0,14.0,15.0,20.0,1.19
Gen_nc[113],-0.018,0.409,-0.888,0.736,0.012,0.027,1145.0,117.0,1021.0,1299.0,1.09
Gen_nc[114],-0.267,0.543,-1.384,0.687,0.044,0.036,154.0,113.0,126.0,1142.0,1.05
Gen_nc[115],-0.069,0.644,-1.21,1.28,0.047,0.033,190.0,190.0,173.0,998.0,1.03
Gen_nc[116],-0.354,0.534,-1.243,0.698,0.086,0.061,38.0,38.0,37.0,1331.0,1.07
Gen_nc[117],0.746,0.578,-0.318,1.926,0.044,0.031,172.0,172.0,159.0,1131.0,1.04
Gen_nc[118],0.533,0.762,-0.607,1.866,0.154,0.111,24.0,24.0,28.0,150.0,1.09
Gen_nc[119],0.794,0.418,-0.035,1.673,0.015,0.01,816.0,816.0,761.0,918.0,1.08
Gen_nc[120],1.004,0.546,-0.127,1.966,0.026,0.019,429.0,429.0,379.0,1333.0,1.04
Gen_nc[121],0.292,0.625,-0.902,1.511,0.041,0.037,237.0,147.0,201.0,1063.0,1.1
Gen_nc[122],0.154,0.408,-0.659,0.893,0.035,0.025,136.0,136.0,145.0,965.0,1.03
Gen_nc[123],0.661,0.694,-0.664,1.834,0.109,0.078,40.0,40.0,43.0,1265.0,1.06
Gen_nc[124],0.299,0.646,-0.959,1.483,0.059,0.063,121.0,54.0,133.0,1000.0,1.08
