,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Myctophidae,0.556,0.908,-1.133,2.179,0.105,0.074,75.0,75.0,79.0,1493.0,1.04
Sillaginidae,-0.424,0.896,-2.117,1.116,0.133,0.095,45.0,45.0,45.0,1394.0,1.06
Leiognathidae,-0.324,0.874,-1.98,1.212,0.12,0.086,53.0,53.0,54.0,1496.0,1.05
Haemulidae,-0.4,0.876,-2.084,1.174,0.105,0.074,70.0,70.0,68.0,1402.0,1.04
Lethrinidae,-0.446,0.885,-2.061,1.182,0.127,0.09,49.0,49.0,47.0,1433.0,1.06
Lutjanidae,-0.33,0.876,-1.987,1.168,0.117,0.083,56.0,56.0,61.0,1421.0,1.05
Nemipteridae,-0.329,0.898,-2.086,1.086,0.143,0.102,40.0,40.0,42.0,1218.0,1.06
Sphyraenidae,-0.36,0.875,-2.063,1.186,0.092,0.065,91.0,91.0,86.0,1253.0,1.04
Dussumieriidae,0.109,0.889,-1.728,1.475,0.141,0.1,40.0,40.0,41.0,1244.0,1.07
Bregmacerotidae,-0.495,0.945,-2.179,1.136,0.165,0.118,33.0,33.0,34.0,1399.0,1.08
Synodontidae,-0.816,1.036,-2.738,0.884,0.179,0.128,34.0,34.0,35.0,1585.0,1.08
Gerreidae,-0.323,0.895,-1.976,1.245,0.141,0.101,40.0,40.0,42.0,1436.0,1.06
Serranidae,-0.31,0.88,-2.012,1.164,0.129,0.092,46.0,46.0,47.0,1340.0,1.06
Acanthuridae,-0.244,0.901,-1.91,1.212,0.159,0.113,32.0,32.0,36.0,1478.0,1.08
Scaridae,-0.404,0.89,-1.995,1.15,0.146,0.104,37.0,37.0,39.0,1324.0,1.07
Monacanthidae,-0.412,0.964,-2.152,1.22,0.165,0.118,34.0,34.0,34.0,1294.0,1.08
Labridae,-0.313,0.907,-1.991,1.189,0.163,0.117,31.0,31.0,33.0,1356.0,1.08
Holocentridae,-0.291,0.917,-2.079,1.341,0.096,0.068,91.0,91.0,99.0,1291.0,1.04
Siganidae,-0.291,0.888,-2.037,1.134,0.138,0.098,42.0,42.0,45.0,1502.0,1.06
Cyprinidae,0.26,0.897,-1.424,1.639,0.154,0.11,34.0,34.0,35.0,587.0,1.08
Ailiidae,-0.334,0.912,-2.138,1.246,0.111,0.079,68.0,68.0,68.0,1217.0,1.05
Anabantidae,-0.306,0.908,-2.011,1.157,0.143,0.102,40.0,40.0,42.0,1476.0,1.07
Siluridae,-0.277,0.964,-2.057,1.251,0.186,0.133,27.0,27.0,29.0,430.0,1.09
Botiidae,0.209,0.909,-1.611,1.562,0.155,0.111,34.0,34.0,35.0,768.0,1.08
Cichlidae,-0.219,0.902,-2.083,1.126,0.14,0.1,41.0,41.0,45.0,1569.0,1.06
Bagridae,-0.404,0.977,-2.102,1.179,0.198,0.141,24.0,24.0,27.0,456.0,1.1
Heteropneustidae,-0.289,0.938,-2.134,1.15,0.158,0.112,35.0,35.0,38.0,1251.0,1.08
Clariidae,-0.424,0.904,-2.09,1.219,0.113,0.08,64.0,64.0,65.0,1297.0,1.05
Percidae,-0.498,0.935,-2.347,0.922,0.165,0.118,32.0,32.0,34.0,1308.0,1.08
Sigma_genus,0.414,0.071,0.283,0.557,0.003,0.002,529.0,517.0,523.0,1040.0,1.07
Balistes,-0.238,0.943,-1.989,1.355,0.14,0.1,45.0,45.0,50.0,1377.0,1.06
Clupea,0.246,0.884,-1.491,1.701,0.131,0.093,46.0,46.0,49.0,1281.0,1.06
Aphanopus,-0.415,0.9,-2.199,1.242,0.025,0.045,1308.0,198.0,1252.0,1374.0,1.02
Chelon,0.576,0.925,-1.212,2.104,0.143,0.102,42.0,42.0,43.0,1522.0,1.06
Tenualosa,0.702,0.913,-1.062,2.194,0.16,0.114,33.0,33.0,35.0,1406.0,1.08
Caranx,-0.34,0.939,-2.198,1.127,0.159,0.113,35.0,35.0,37.0,1384.0,1.07
Sciaenops,-0.652,0.898,-2.322,1.096,0.068,0.057,176.0,123.0,186.0,1369.0,1.02
Scomber,-0.275,0.884,-1.93,1.266,0.125,0.089,50.0,50.0,51.0,1461.0,1.05
Trachurus,-0.481,0.877,-2.231,0.983,0.115,0.082,58.0,58.0,60.0,1452.0,1.05
Raja,0.352,0.994,-1.607,1.942,0.139,0.099,51.0,51.0,55.0,969.0,1.06
Squalus,0.484,1.118,-1.309,2.462,0.269,0.216,17.0,14.0,20.0,152.0,1.13
Centropomus,-0.261,0.886,-1.942,1.397,0.044,0.036,413.0,302.0,353.0,1132.0,1.02
Macrodon,-0.21,1.024,-1.909,1.626,0.24,0.173,18.0,18.0,21.0,120.0,1.13
Micropogonias,-0.589,0.924,-2.23,1.139,0.121,0.086,59.0,59.0,60.0,1467.0,1.05
